type,key,layout_side,layout_order,start_year,end_year,justice_tier,name,reign_info,title_tag,father,female_info,prophet,summary
meta,app_title,,,.,.,.,✏️ 聖經歷史・萬能呈現框架 (v4.40 絕對時間軸精準對齊版),.,.,.,.,.,.
meta,app_subtitle,,,.,.,.,✨ 聯合王國與南國整合、雙軌色帶採用 1050 BC 絕對時間座標系精準對齊,.,.,.,.,.,.
meta,left_header,,,.,.,.,北國以色列 (19王全展開),.,.,.,.,.,.
meta,right_header,,,.,.,.,聯合王國 + 南國猶大 (統治者與亡國),.,.,.,.,.,.
data,,right,0,1050,1010,special,0a. 掃羅,40年,以色列首任君王,基士(便雅憫支派),,撒母耳,以色列民要求立王下的首位君王；早期謙卑，後因多次違背神命、嫉妒大衛，終在基利波山戰役戰敗自盡。〔撒上9-31; 代上10〕
data,,right,1,1010,970,good,0b. 大衛,40年,合神心意之王建都錫安,耶西(猶大支派伯利恆人),,拿單/迦得,擊殺歌利亞；統一全國並定都耶路撒冷；運約櫃入城；雖曾犯罪但深切痛悔，神與其立下永遠國度之約。〔撒下1-24; 代上11-29〕
data,,right,2,970,930,good,0c. 所羅門,40年,智慧極大建造聖殿晚年背道,大衛,母親：拔示安(亞米疊的女兒),拿單/亞希雅/迦得,求智慧治理國家；歷時七年建成宏偉聖殿；晚年因隨從外邦妃嬪拜偶像，導致王國分裂的種子埋下。〔王上1-11; 代上28-29; 代下1-9〕
data,,left,0,930,909,bad,1. 耶羅波安一世,22年,政權奠基者設金牛犢,尼八(以法蓮支派撒利達人),,亞希雅,分國後於伯特利與但設金牛犢切斷聖殿向心力；神人預言其祭壇破裂。〔王上12-14; 代下10-13〕
data,,left,1,909,908,evil,2. 拿答,2年,行惡陷家絕,耶羅波安一世,,,率軍圍攻非利士基比頓時，遭部下巴沙叛變刺殺，全家遭殘酷滅絕，應驗亞希雅預言。〔王上15〕
data,,left,2,908,886,bad,3. 巴沙,24年,篡位步前王後塵,亞希亞(以薩迦支派),,耶戶,建立新政權；築拉瑪封鎖猶大；受先知耶戶嚴厲審判，預言其後代同遭刀殺滅絕。〔王上15-16; 代下16〕
data,,left,3,886,885,evil,4. 以拉,2年,荒淫酗酒遭滅,巴沙,,,在得撒家宰亞比達家中飲酒大醉時，被戰車長官心利趁隙暗殺，宗族全數被斬草除根。〔王上16〕
